Time,winner,loser,behavior,,
0,1,3,push,,
0.14,2,1,push,,
0.3,1,2,push,,
0.45,3,2,poke,,
0.54,1,2,tease,,
0.63,4,3,poke,,
0.7,2,1,push,,
0.85,1,2,push,,
1.2,2,4,tease,,
1.74,1,3,push,,
1.94,1,3,push,,
2.17,1,2,push,,
2.39,4,3,poke,,
2.59,1,4,tease,,
2.7,3,4,poke,,
3.3,1,3,push,,
3.72,2,3,poke,,
4,2,3,tease,,
4.08,2,3,push,,
4.1,2,1,tease,,
4.7,1,2,push,,
4.89,3,4,poke,,
4.97,3,4,poke,,
5.1,1,4,tease,,
5.17,3,4,poke,,
5.21,3,4,push,,
5.26,1,4,poke,,
5.51,2,4,push,,
5.77,2,3,poke,,
6.53,1,2,poke,,
6.98,3,4,tease,,
7.13,3,4,poke,,
7.37,3,4,poke,,
7.97,1,3,tease,,
8.45,3,4,push,,
8.96,1,4,poke,,
9.3,1,3,poke,,
9.53,2,3,push,,
10,2,3,tease,,
