Time,winner,loser,behavior
64,1,4,T
72,4,3,T
82,4,1,T
108,1,2,T
115,2,4,T
119,1,2,T
119,4,2,T
121,1,3,T
122,1,2,T
128,4,2,T
132,4,1,T
139,2,4,T
142,1,2,T
145,1,4,T
148,1,4,T
150,4,2,B
151,4,2,T
154,1,2,T
156,4,2,T
158,1,2,T
161,2,4,C
165,1,4,T
167,4,2,T
170,1,4,T
179,4,2,T
181,4,1,T
184,4,3,T
185,1,2,T
191,3,4,T
194,1,2,C
198,4,2,T
201,1,2,T
205,1,4,T
207,4,1,T
214,1,3,T
227,2,4,B
228,4,2,T
229,4,2,T
236,4,1,T
237,1,2,T
240,1,4,T
243,1,4,T
245,2,1,T
248,4,1,T
251,4,1,T
254,4,2,T
257,4,2,T
259,4,2,T
260,3,1,T
269,1,2,T
271,4,1,T
283,4,1,T
287,1,3,T
292,1,4,T
302,4,3,T
312,4,3,T
331,4,1,T
332,4,2,T
338,4,2,T
345,2,3,T
355,1,3,T
363,4,3,T
373,3,4,T
374,2,4,T
377,3,2,L
389,3,4,T
419,2,1,T
434,1,4,T
438,4,1,C
439,4,1,T
440,4,2,T
483,1,4,T
491,2,3,T
503,2,4,T
571,3,1,T
1328,1,4,B
1426,2,1,T
1452,2,4,B
1470,2,4,T
1485,4,2,B
1492,4,2,L
1495,1,2,T
1593,4,2,T
1949,4,1,C
1950,4,2,C
1952,4,1,T
1958,4,1,C
1960,4,1,C
1963,4,2,T
2034,4,2,T
2035,4,1,C
2169,1,2,T
2186,3,2,T
2307,3,2,B
2316,3,2,T
2485,3,2,T
2573,4,3,T
2612,4,2,T
2621,2,1,L
2660,4,3,T
2694,4,2,C
2696,4,2,T
2701,4,2,C
2703,4,1,C
2706,4,2,T
2885,1,4,T
2886,4,2,T
2887,2,4,T
3190,2,1,T
3192,3,2,T
3196,1,2,T
3199,1,2,T
3202,1,2,C
3204,1,2,T
3204,1,2,T
3206,1,2,C
3208,1,2,C
3211,1,2,T
3213,1,2,C
3225,1,3,T
3226,1,2,T
3227,1,2,T
3229,1,3,T
3237,1,4,B
3240,1,4,T
3252,1,4,L
3283,1,4,L
3344,4,2,T
3346,1,4,T
3346,1,2,T
3372,1,4,C
3374,1,2,T
3377,1,4,T
3380,1,4,T
3383,1,4,T
3386,1,4,C
3424,1,4,T
3426,1,4,T
3428,1,3,T
3430,1,4,T
3433,1,4,T
3462,1,4,T
3465,4,1,T
3480,4,1,T
3481,4,1,T
3481,4,1,T
3483,4,3,T
3484,3,2,T
3488,4,3,T
3490,4,2,C
3492,4,1,T
3513,3,2,T
3514,4,3,T
3516,3,1,T
3520,3,4,L
3543,3,4,L
3582,3,2,T
3582,3,1,T
3825,4,2,T
3828,4,3,T
3937,3,2,T
3939,3,2,T
3962,4,3,T
3963,3,2,T
3967,4,3,L
3968,3,2,T
3970,4,3,T
3972,1,3,T
3974,4,3,T
4038,2,1,T
4065,4,1,C
4150,4,2,T
4152,4,2,T
4159,4,2,T
4160,4,2,T
4157,4,3,T
4159,4,2,T
4162,4,2,T
4161,2,3,T
4226,2,3,T
4268,4,3,T
4344,4,3,T
4549,4,3,T
4701,1,2,T
4703,4,2,T
4796,3,2,C
4798,4,2,T
4800,4,2,T
4802,4,3,T
4804,3,1,T
4803,2,1,T
4807,4,1,T
4807,3,2,T
4809,4,2,T
4810,3,2,T
4833,3,1,T
4837,3,1,T
4839,3,1,T
4840,3,2,T
4841,3,2,C
4842,4,1,T
4843,3,2,C
4847,3,2,T
4848,3,2,C
4850,3,2,C
4851,3,2,C
4854,3,2,T
4898,3,1,T
4898,3,1,C
4900,4,1,T
4901,3,2,C
4902,3,2,C
4904,3,2,T
4925,3,1,T
4926,3,2,T
4927,4,2,T
4927,3,1,C
4928,3,2,T
4931,4,3,T
4934,3,2,T
4934,3,2,B
4936,4,1,T
4949,3,2,T
4951,3,2,T
4971,4,3,T
5006,3,2,T
5081,3,2,T
5082,3,2,T
5083,3,2,T
5084,3,2,T
5124,3,2,T
5192,3,2,T
5202,3,2,C
5226,3,2,T
5228,3,2,T
5230,3,2,C
5232,3,2,T
5234,3,2,C
5234,3,2,T
5236,3,2,C
5237,3,2,T
5240,3,2,C
5243,3,2,T
5245,3,4,C
5256,3,2,C
5259,3,2,T
5262,3,2,T
5264,3,2,C
5265,3,2,T
5266,3,2,T
5269,3,4,T
5270,3,2,T
5291,3,2,T
5296,3,2,C
5298,3,2,C
5301,3,2,T
5303,3,2,C
5306,3,2,T
5310,3,2,T
5311,3,2,T
5314,3,2,T
5316,3,2,T
5319,3,4,T
5321,3,2,T
5323,3,2,T
5324,3,2,C
5330,3,2,C
5333,3,2,T
5339,3,4,T
5349,3,2,C
5354,3,1,C
5357,3,4,T
5360,3,4,C
5363,3,2,C
5402,3,1,T
5404,3,1,T
5406,3,1,T
5407,3,1,C
5409,3,1,T
5411,3,1,T
5421,3,4,T
5438,3,1,T
5440,3,1,T
5451,3,1,T
5456,3,2,C
5459,3,2,C
5479,3,2,T
5480,3,2,T
5487,3,1,T
5489,3,1,C
5493,3,1,T
5493,3,1,C
5498,3,1,T
5500,3,1,C
5515,3,1,T
5521,3,4,T
5523,3,2,C
5528,3,1,T
5552,3,1,T
5553,3,1,T
5556,3,2,T
5558,3,1,T
5560,3,2,T
5563,3,1,T
5569,3,1,T
5573,4,1,T
5574,3,1,T
5576,3,2,T
5578,3,2,T
5589,4,1,T
5615,4,1,T
5617,3,1,T
5620,3,2,T
5628,3,2,T
5635,4,1,T
5638,4,1,C
5643,3,1,T
5645,4,1,T
5646,3,1,T
5647,4,1,T
5649,3,1,T
5653,3,1,T
5656,4,1,T
5674,3,2,T
5675,4,2,T
5683,3,1,T
5685,4,2,T
5710,3,1,C
5717,3,1,T
5718,3,1,C
5726,3,2,T
5727,3,2,T
5729,3,2,T
5734,4,1,T
5742,3,2,C
5749,3,1,T
5750,4,1,T
5754,3,2,T
5756,3,1,T
5764,3,1,T
5768,3,2,T
5779,3,2,T
5781,3,2,T
5801,3,1,T
5806,3,2,T
5812,4,1,T
5826,4,3,T
5830,4,1,T
5831,3,2,T
5831,4,1,T
5836,3,1,T
5840,4,2,T
5860,4,1,T
5871,4,1,T
5871,4,3,T
5906,4,3,C
5969,3,2,T
5973,4,1,T
5977,4,1,T
5980,4,2,T
5983,3,1,T
5993,4,2,T
6007,3,1,T
6039,3,2,C
6043,3,1,T
6049,3,2,T
6072,3,1,C
6120,3,2,T
6123,3,1,T
6133,4,1,T
6160,3,4,T
6168,3,1,T
6214,4,2,T
6218,4,1,T
6222,3,1,T
6228,3,4,T
6230,3,1,T
6241,4,2,C
